game_index,decision_index,elapsed_ms,eligible,search_begin_ok,visits
13,29,1.2684,0,0,0
13,30,701.6516,1,1,413
13,31,1.6037,0,0,0
13,32,1.2274,0,0,0
13,33,1.1531,0,0,0
13,34,701.2446,1,1,574
13,35,701.1134,1,1,619
14,0,0.1998,0,0,0
14,1,1.0968,0,0,0
14,2,702.1987,1,1,189
14,3,701.6138,1,1,194
14,4,1.3083,0,0,0
14,5,704.2857,1,1,171
14,6,705.9324,1,1,159
14,7,1.1841,0,0,0
14,8,703.1405,1,1,146
14,9,702.4334,1,1,107
14,10,705.2888,1,1,104
14,11,0.9507,0,0,0
14,12,706.8691,1,1,89
14,13,1.2259,0,0,0
14,14,709.8095,1,1,70
14,15,1.6143,0,0,0
14,16,704.9938,1,1,68
14,17,1.2785,0,0,0
14,18,1.1448,0,0,0
14,19,1.3601,0,0,0
14,20,710.8504,1,1,71
14,21,710.5785,1,1,71
14,22,1.2785,0,0,0
14,23,701.2366,1,1,65
14,24,710.0089,1,1,68
14,25,703.5449,1,1,74
14,26,1.1218,0,0,0
14,27,1.2156,0,0,0
14,28,708.9321,1,1,67
14,29,1.2512,0,0,0
14,30,706.6709,1,1,80
14,31,1.0809,0,0,0
14,32,703.5595,1,1,79
14,33,701.4237,1,1,79
14,34,708.4757,1,1,79
14,35,709.0856,1,1,79
14,36,1.1515,0,0,0
14,37,1.0708,0,0,0
14,38,0.9011,0,0,0
14,39,0.9402,0,0,0
14,40,0.8933,0,0,0
14,41,0.9920,0,0,0
14,42,0.9328,0,0,0
14,43,707.7217,1,1,112
14,44,711.5090,1,1,101
14,45,1.5269,0,0,0
14,46,706.7727,1,1,103
14,47,1.2703,0,0,0
14,48,1.4218,0,0,0
14,49,1.1501,0,0,0
14,50,0.9948,0,0,0
14,51,1.2228,0,0,0
14,52,1.1608,0,0,0
14,53,1.1988,0,0,0
14,54,0.9850,0,0,0
14,55,706.2407,1,1,98
14,56,702.9774,1,1,97
14,57,703.2896,1,1,102
14,58,1.4906,0,0,0
14,59,702.5745,1,1,98
14,60,1.1261,0,0,0
14,61,1.6268,0,0,0
14,62,705.5696,1,1,115
14,63,706.0170,1,1,122
14,64,1.5086,0,0,0
14,65,706.6675,1,1,118
14,66,1.3244,0,0,0
14,67,1.5048,0,0,0
14,68,707.5770,1,1,106
14,69,703.9760,1,1,275
14,70,701.8856,1,1,217
14,71,702.9189,1,1,262
14,72,1.1254,0,0,0
14,73,703.4586,1,1,271
14,74,1.3363,0,0,0
14,75,1.2762,0,0,0
14,76,1.2628,0,0,0
14,77,1.1481,0,0,0
14,78,1.5147,0,0,0
14,79,1.0663,0,0,0
14,80,1.1636,0,0,0
15,0,0.2134,0,0,0
15,1,1.2607,0,0,0
15,2,709.1699,1,1,80
15,3,701.5385,1,1,78
15,4,710.9185,1,1,82
15,5,701.3249,1,1,82
15,6,701.9818,1,1,95
16,0,0.2147,0,0,0
16,1,0.7306,0,0,0
16,2,0.9025,0,0,0
16,3,0.4872,0,0,0
16,4,705.0151,1,1,101
16,5,709.5253,1,1,89
16,6,701.5973,1,1,89
16,7,703.6606,1,1,95
16,8,0.7902,0,0,0
16,9,1.2321,0,0,0
16,10,708.1781,1,1,111
16,11,705.1992,1,1,76
16,12,708.3066,1,1,84
16,13,711.1652,1,1,66
16,14,706.2315,1,1,65
16,15,707.1284,1,1,62
16,16,711.0126,1,1,59
16,17,1.3230,0,0,0
16,18,1.1836,0,0,0
16,19,1.3356,0,0,0
16,20,704.9906,1,1,55
16,21,1.1668,0,0,0
16,22,711.8974,1,1,51
16,23,712.4642,1,1,52
16,24,1.1927,0,0,0
16,25,1.1169,0,0,0
16,26,1.1556,0,0,0
16,27,1.1324,0,0,0
16,28,1.4985,0,0,0
16,29,1.2288,0,0,0
16,30,1.5023,0,0,0
16,31,704.2702,1,1,51
16,32,1.8099,0,0,0
16,33,712.9328,1,1,53
16,34,1.4867,0,0,0
16,35,1.6914,0,0,0
16,36,714.1186,1,1,55
16,37,703.5481,1,1,49
16,38,1.2236,0,0,0
16,39,702.8125,1,1,49
16,40,1.4888,0,0,0
16,41,705.6496,1,1,49
16,42,707.1119,1,1,50
16,43,706.4802,1,1,52
16,44,1.2815,0,0,0
16,45,703.4024,1,1,51
16,46,703.0853,1,1,53
16,47,710.4636,1,1,57
16,48,1.6274,0,0,0
16,49,711.3298,1,1,51
16,50,706.3064,1,1,51
16,51,1.6488,0,0,0
16,52,710.1010,1,1,69
16,53,704.9027,1,1,69
16,54,709.3758,1,1,77
16,55,1.3608,0,0,0
16,56,707.8473,1,1,75
16,57,1.6102,0,0,0
16,58,707.3407,1,1,84
16,59,706.1908,1,1,85
16,60,703.1769,1,1,85
16,61,707.6763,1,1,80
16,62,1.5875,0,0,0
16,63,708.6351,1,1,102
